"17개 시도별",전남,515,97.8,77.6,55.7,17.9,11.4,9.5,9.4,2.8
"17개 시도별",경북,620,85.4,73.7,55.3,30.1,22.9,13.5,5.5,3.9
"17개 시도별",경남,678,95.4,81.5,66.6,21.4,10.1,8.5,3.2,2.5
"17개 시도별",제주,300,96.6,88.5,62.2,39.6,10.6,14.7,1.4,1.7
"장애여부별",장애등록,151,96,63.6,66.6,8.8,11.4,11.9,2.1,5.3
"장애여부별",미등록,58,98,56.9,39.8,20.6,16.2,4,25.2,4.6
"장애여부별",해당사항없음,9837,90.7,79.6,58.2,25.8,17.3,11.2,9.9,4.2
"근무 형태",전일제,4189,89.8,83.8,54.9,28.9,20,14.2,10.5,3.5
"근무 형태",교대제,287,92.7,84.3,54.5,27,21.2,11.2,6.7,2.1
"근무 형태",시간 선택제,394,90.3,76.5,65.9,23.6,14.8,5.2,11,6.3
"근무 형태",해당 없음,1419,90.4,76.5,60.7,23.3,16.6,12.8,10.1,5.1
"유연 근무제 여부",시행,528,83.2,78,44.6,36.9,30.4,14,17.2,7.7
"유연 근무제 여부",미시행,2959,89.9,84,55.2,26.3,20.1,13.5,9.8,2.9
"유연 근무제 여부",해당 없음,2802,91.8,79.8,61.3,26.3,15.2,12.8,9.2,4.4
